email_id,sender,receiver,subject,body,category,priority,source,text,clean_text
H001,hr@nexova.example,nupur@iris-mail.com,Technical Interview Confirmation - March 18,"Hi Nupur,
 
 We would like to confirm your technical interview for March 18 at 11:00 AM. Please confirm your availability by 6 PM today so that we can reserve the interview panel.
 
 Regards,
 Recruitment Team, Nexova Technologies",Job/Internship,HIGH,Synthetic,"Technical Interview Confirmation - March 18 Hi Nupur,
 
 We would like to confirm your technical interview for March 18 at 11:00 AM. Please confirm your availability by 6 PM today so that we can reserve the interview panel.
 
 Regards,
 Recruitment Team, Nexova Technologies",technical interview confirmation - march 18 hi nupur would like to confirm technical interview march 18 at 11:00 am please confirm availability by 6 pm today reserve interview panel regard recruitment team nexova technology
H002,hr@nexova.example,nupur@iris-mail.com,Re: Technical Interview Confirmation - Reschedule to 10 AM,"Hi Nupur,
 
 Thanks for confirming. There has been a small change, the panel is now available at 10:00 AM instead of 11:00 AM on the same day. Please let us know if this earlier slot still works for you.
 
 Regards,
 Recruitment Team, Nexova Technologies",Job/Internship,HIGH,Synthetic,"Re: Technical Interview Confirmation - Reschedule to 10 AM Hi Nupur,
 
 Thanks for confirming. There has been a small change, the panel is now available at 10:00 AM instead of 11:00 AM on the same day. Please let us know if this earlier slot still works for you.
 
 Regards,
 Recruitment Team, Nexova Technologies",: technical interview confirmation - reschedule to 10 am hi nupur thanks confirming small change panel available at 10:00 am instead 11:00 am on day please let u know earlier slot still work regard recruitment team nexova technology
H003,hr@nexova.example,nupur@iris-mail.com,Final Round Scheduled - Documents Needed,"Hi Nupur,
 
 Congratulations on clearing the technical round. The final HR round is tomorrow at 3 PM. Please carry your resume, college ID, and a copy of your latest marksheet, as we cannot process the offer without these on file.
 
 Regards,
 Recruitment Team, Nexova Technologies",Job/Internship,HIGH,Synthetic,"Final Round Scheduled - Documents Needed Hi Nupur,
 
 Congratulations on clearing the technical round. The final HR round is tomorrow at 3 PM. Please carry your resume, college ID, and a copy of your latest marksheet, as we cannot process the offer without these on file.
 
 Regards,
 Recruitment Team, Nexova Technologies",final round scheduled - document needed hi nupur congratulation on clearing technical round final hr round tomorrow at 3 pm please carry resume college id copy latest marksheet not process offer without on file regard recruitment team nexova technology
H004,careers@vertexlabs.example,nupur@iris-mail.com,Offer Letter Attached - Response Needed by Friday,"Dear Nupur,
 
 Congratulations! Please find your internship offer letter attached. Our HR team needs your signed acceptance by end of day Friday to include you in the next onboarding batch. If we do not hear back by then, the seat may be offered to another candidate.
 
 Best,
 HR, Vertex Labs",Job/Internship,HIGH,Synthetic,"Offer Letter Attached - Response Needed by Friday Dear Nupur,
 
 Congratulations! Please find your internship offer letter attached. Our HR team needs your signed acceptance by end of day Friday to include you in the next onboarding batch. If we do not hear back by then, the seat may be offered to another candidate.
 
 Best,
 HR, Vertex Labs",offer letter attached - response needed by friday dear nupur congratulation please find internship offer letter attached hr team need signed acceptance by end day friday to include next onboarding batch not hear back by seat may offered to another candidate best hr vertex lab
H005,internships@internhub.example,nupur@iris-mail.com,Internship Slot Confirmation Required,"Hi Nupur,
 
 Only 2 seats remain in the Summer Data Analytics Internship you applied for. To lock your seat, complete the registration form within 24 hours. After that the seat will be released to students on the waitlist.
 
 Team InternHub",Job/Internship,HIGH,Synthetic,"Internship Slot Confirmation Required Hi Nupur,
 
 Only 2 seats remain in the Summer Data Analytics Internship you applied for. To lock your seat, complete the registration form within 24 hours. After that the seat will be released to students on the waitlist.
 
 Team InternHub",internship slot confirmation required hi nupur 2 seat remain summer data analytics internship applied to lock seat complete registration form within 24 hour after seat released to student on waitlist team internhub
H006,sneha.talent@finlyst.example,nupur@iris-mail.com,Rescheduling Your Interview Today,"Hi Nupur,
 
 Our interviewer had an emergency and your slot for today at 3 PM needs to move. Could you do 5 PM today instead, or would tomorrow morning work better? Please reply within the hour so we can lock a new time.
 
 Thanks,
 Sneha, Talent Acquisition, Finlyst",Job/Internship,HIGH,Synthetic,"Rescheduling Your Interview Today Hi Nupur,
 
 Our interviewer had an emergency and your slot for today at 3 PM needs to move. Could you do 5 PM today instead, or would tomorrow morning work better? Please reply within the hour so we can lock a new time.
 
 Thanks,
 Sneha, Talent Acquisition, Finlyst",rescheduling interview today hi nupur interviewer emergency slot today at 3 pm need to move could 5 pm today instead would tomorrow morning work better please reply within hour lock new time thanks sneha talent acquisition finlyst
H007,careers@vertexlabs.example,nupur@iris-mail.com,Missing Document in Your Application,"Dear Nupur,
 
 Your application for the Junior Analyst role is on hold because your latest semester marksheet was not attached. The portal closes tonight at midnight and incomplete applications will not be forwarded to the panel.
 
 Regards,
 Careers Team, Vertex Labs",Job/Internship,HIGH,Synthetic,"Missing Document in Your Application Dear Nupur,
 
 Your application for the Junior Analyst role is on hold because your latest semester marksheet was not attached. The portal closes tonight at midnight and incomplete applications will not be forwarded to the panel.
 
 Regards,
 Careers Team, Vertex Labs",missing document application dear nupur application junior analyst role on hold latest semester marksheet not attached portal close tonight at midnight incomplete application not forwarded to panel regard career team vertex lab
H008,placement@nirmaya.edu,nupur@iris-mail.com,You Have Been Shortlisted - Report Tomorrow,"Hi Nupur,
 
 You have cleared the aptitude round. The group discussion is scheduled for tomorrow at 9 AM in Seminar Hall 2. Please carry a printed resume and valid photo ID, and arrive 15 minutes early as latecomers will not be allowed entry.
 
 Placement Cell, Nirmaya Institute",Job/Internship,HIGH,Synthetic,"You Have Been Shortlisted - Report Tomorrow Hi Nupur,
 
 You have cleared the aptitude round. The group discussion is scheduled for tomorrow at 9 AM in Seminar Hall 2. Please carry a printed resume and valid photo ID, and arrive 15 minutes early as latecomers will not be allowed entry.
 
 Placement Cell, Nirmaya Institute",shortlisted - report tomorrow hi nupur cleared aptitude round group discussion scheduled tomorrow at 9 am seminar hall 2 please carry printed resume valid photo id arrive 15 minute early latecomer not allowed entry placement cell nirmaya institute
H009,rohit.manager@orchidconsulting.example,nupur@iris-mail.com,Quick Question Before We Finalize,"Hi Nupur,
 
 My manager wants to close the hiring for this role by tomorrow evening. Can you confirm your expected joining date and notice period today so I can put it in front of him at the 4 PM review? Sorry for the short notice.
 
 Rohit",Job/Internship,HIGH,Synthetic,"Quick Question Before We Finalize Hi Nupur,
 
 My manager wants to close the hiring for this role by tomorrow evening. Can you confirm your expected joining date and notice period today so I can put it in front of him at the 4 PM review? Sorry for the short notice.
 
 Rohit",quick question before finalize hi nupur manager want to close hiring role by tomorrow evening confirm expected joining date notice period today put front at 4 pm review sorry short notice rohit
H010,verification@screensafe.example,nupur@iris-mail.com,Background Verification Call Tomorrow,"Dear Nupur,
 
 Our background verification agency will call you tomorrow between 10 AM and 1 PM. Please keep your original degree certificate and previous internship letter ready, as your joining is contingent on this call being completed on time.
 
 HR Operations",Job/Internship,HIGH,Synthetic,"Background Verification Call Tomorrow Dear Nupur,
 
 Our background verification agency will call you tomorrow between 10 AM and 1 PM. Please keep your original degree certificate and previous internship letter ready, as your joining is contingent on this call being completed on time.
 
 HR Operations",background verification call tomorrow dear nupur background verification agency call tomorrow between 10 am 1 pm please keep original degree certificate previous internship letter ready joining contingent on call completed on time hr operation
H011,karan.hr@cloudberry.example,nupur@iris-mail.com,Re: Internship Stipend - Bank Details Needed,"Hi Nupur,
 
 Glad we could agree on the stipend. Finance needs your bank details filled in the joining form by tomorrow morning to include you in this month's payroll cycle, otherwise your first payment gets delayed by a full month.
 
 Warm regards,
 Karan, Cloudberry Systems",Job/Internship,HIGH,Synthetic,"Re: Internship Stipend - Bank Details Needed Hi Nupur,
 
 Glad we could agree on the stipend. Finance needs your bank details filled in the joining form by tomorrow morning to include you in this month's payroll cycle, otherwise your first payment gets delayed by a full month.
 
 Warm regards,
 Karan, Cloudberry Systems",: internship stipend - bank detail needed hi nupur glad could agree on stipend finance need bank detail filled joining form by tomorrow morning to include month payroll cycle otherwise first payment get delayed by full month warm regard karan cloudberry system
H012,hr@nexova.example,nupur@iris-mail.com,Panel Wants to Meet You Again,"Hi Nupur,
 
 The panel needs a short follow up round tomorrow at 2 PM since two interviewers could not attend the first session. This is unusual but necessary before we can move your file to HR. Please confirm you can make it.
 
 Regards,
 Recruitment, Nexova Technologies",Job/Internship,HIGH,Synthetic,"Panel Wants to Meet You Again Hi Nupur,
 
 The panel needs a short follow up round tomorrow at 2 PM since two interviewers could not attend the first session. This is unusual but necessary before we can move your file to HR. Please confirm you can make it.
 
 Regards,
 Recruitment, Nexova Technologies",panel want to meet hi nupur panel need short follow round tomorrow at 2 pm since two interviewer could not attend first session unusual necessary before move file to hr please confirm make regard recruitment nexova technology
H013,hrbp@orchidconsulting.example,nupur@iris-mail.com,Your Application Has Moved to Offer Stage,"Hi Nupur,
 
 Your profile has moved to the offer stage for the Business Analyst position. Our HR will call you within the next two hours to discuss compensation. Please keep your phone accessible as we would like to close this today.
 
 Talent Team, Orchid Consulting",Job/Internship,HIGH,Synthetic,"Your Application Has Moved to Offer Stage Hi Nupur,
 
 Your profile has moved to the offer stage for the Business Analyst position. Our HR will call you within the next two hours to discuss compensation. Please keep your phone accessible as we would like to close this today.
 
 Talent Team, Orchid Consulting",application moved to offer stage hi nupur profile moved to offer stage business analyst position hr call within next two hour to discus compensation please keep phone accessible would like to close today talent team orchid consulting
H014,hr@cloudberry.example,nupur@iris-mail.com,Documents Needed Before Tomorrow's Induction,"Dear Nupur,
 
 Induction for new joiners starts tomorrow at 9 AM sharp. You still need to submit your Aadhaar copy and last marksheet to the HR desk today evening, otherwise your access card and system login will not be ready on day one.
 
 HR Desk, Cloudberry Systems",Job/Internship,HIGH,Synthetic,"Documents Needed Before Tomorrow's Induction Dear Nupur,
 
 Induction for new joiners starts tomorrow at 9 AM sharp. You still need to submit your Aadhaar copy and last marksheet to the HR desk today evening, otherwise your access card and system login will not be ready on day one.
 
 HR Desk, Cloudberry Systems",document needed before tomorrow induction dear nupur induction new joiner start tomorrow at 9 am sharp still need to submit aadhaar copy last marksheet to hr desk today evening otherwise access card system login not ready on day one hr desk cloudberry system
